id,mine_id,name,operational_status,bench_level,daily_target_tons,potential
ZONE_NORTH_A,MINE_BALAGHAT_01,North Bench Pit A,ACTIVE_EXTRACTION,-120m RL,450,HIGH
ZONE_CENTRAL_B,MINE_BALAGHAT_01,Central Main Pit B,HIGH_EXTRACTION,-160m RL,520,HIGH
ZONE_SOUTH_C,MINE_BALAGHAT_01,South Expansion Zone C,DEVELOPMENT_BENCH,-60m RL,250,MEDIUM
ZONE_EAST_D,MINE_BALAGHAT_01,East Exploration Block D,GEOLOGICAL_PROSPECTING,Surface (+320m RL),0,MEDIUM
ZONE_WEST_E,MINE_BALAGHAT_01,West Overburden Dump E,WASTE_STABILIZATION,Surface (+340m RL),0,LOW
ZONE_GMG_01,MINE_GUMGAON_02,Gumgaon Deep Shaft Pit 1,ACTIVE_EXTRACTION,-140m RL,220,HIGH
ZONE_GMG_02,MINE_GUMGAON_02,Gumgaon Central Stope 2,ACTIVE_EXTRACTION,-180m RL,260,HIGH
ZONE_GMG_03,MINE_GUMGAON_02,Gumgaon South Incline 3,DEVELOPMENT_BENCH,-100m RL,180,MEDIUM
ZONE_GMG_04,MINE_GUMGAON_02,Gumgaon Prospecting Block 4,GEOLOGICAL_PROSPECTING,Surface (+290m RL),0,LOW
ZONE_TRD_01,MINE_TIRODI_03,Tirodi Main Quarry Pit 1,ACTIVE_EXTRACTION,-80m RL,340,HIGH
ZONE_TRD_02,MINE_TIRODI_03,Tirodi West Open Bench 2,ACTIVE_EXTRACTION,-110m RL,380,HIGH
ZONE_TRD_03,MINE_TIRODI_03,Tirodi East Expansion 3,DEVELOPMENT_BENCH,-50m RL,200,MEDIUM
ZONE_TRD_04,MINE_TIRODI_03,Tirodi Prospecting Block 4,GEOLOGICAL_PROSPECTING,Surface (+310m RL),0,LOW
ZONE_TRD_05,MINE_TIRODI_03,Tirodi Overburden Ridge 5,WASTE_STABILIZATION,Surface (+330m RL),0,LOW
ZONE_DGB_01,MINE_DONGRI_04,Dongri Alpha Pit (Beneficiation),ACTIVE_EXTRACTION,-90m RL,480,HIGH
